Function,Class,Method,Group,Milestone,ClassMethod,
Resampler.std,Resampler,std,Computations / descriptive stats,phase 2,Resampler.std,
Resampler.sum,Resampler,sum,Computations / descriptive stats,phase 2,Resampler.sum,
Resampler.var,Resampler,var,Computations / descriptive stats,phase 2,Resampler.var,
Resampler.quantile,Resampler,quantile,Computations / descriptive stats,,Resampler.quantile,
pandas.melt,pandas,melt,Data manipulations,phase 2,pandas.melt,
pandas.pivot,pandas,pivot,Data manipulations,,pandas.pivot,
pandas.pivot_table,pandas,pivot_table,Data manipulations,,pandas.pivot_table,
pandas.crosstab,pandas,crosstab,Data manipulations,,pandas.crosstab,
pandas.cut,pandas,cut,Data manipulations,phase 2,pandas.cut,
pandas.qcut,pandas,qcut,Data manipulations,phase 2,pandas.qcut,
pandas.merge,pandas,merge,Data manipulations,,pandas.merge,
pandas.merge_ordered,pandas,merge_ordered,Data manipulations,,pandas.merge_ordered,
pandas.merge_asof,pandas,merge_asof,Data manipulations,,pandas.merge_asof,
pandas.concat,pandas,concat,Data manipulations,,pandas.concat,
pandas.get_dummies,pandas,get_dummies,Data manipulations,phase 2,pandas.get_dummies,
pandas.from_dummies,pandas,from_dummies,Data manipulations,,pandas.from_dummies,
pandas.factorize,pandas,factorize,Data manipulations,,pandas.factorize,
pandas.unique,pandas,unique,Data manipulations,,pandas.unique,
pandas.lreshape,pandas,lreshape,Data manipulations,,pandas.lreshape,
pandas.wide_to_long,pandas,wide_to_long,Data manipulations,,pandas.wide_to_long,
pandas.isna,pandas,isna,Top-level missing data,,pandas.isna,
pandas.isnull,pandas,isnull,Top-level missing data,,pandas.isnull,
pandas.notna,pandas,notna,Top-level missing data,,pandas.notna,
pandas.notnull,pandas,notnull,Top-level missing data,,pandas.notnull,
pandas.to_numeric,pandas,to_numeric,Top-level dealing with numeric data,,pandas.to_numeric,
pandas.to_datetime,pandas,to_datetime,Top-level dealing with datetimelike data,,pandas.to_datetime,
pandas.to_timedelta,pandas,to_timedelta,Top-level dealing with datetimelike data,,pandas.to_timedelta,
pandas.date_range,pandas,date_range,Top-level dealing with datetimelike data,phase 2,pandas.date_range,
pandas.bdate_range,pandas,bdate_range,Top-level dealing with datetimelike data,,pandas.bdate_range,
pandas.period_range,pandas,period_range,Top-level dealing with datetimelike data,,pandas.period_range,
pandas.timedelta_range,pandas,timedelta_range,Top-level dealing with datetimelike data,,pandas.timedelta_range,
pandas.infer_freq,pandas,infer_freq,Top-level dealing with datetimelike data,,pandas.infer_freq,
pandas.interval_range,pandas,interval_range,Top-level dealing with Interval data,,pandas.interval_range,
pandas.eval,pandas,eval,Top-level evaluation,,pandas.eval,
pandas.util.hash_array,pandas,util.hash_array,Hashing,,pandas.util.hash_array,
pandas.util.hash_pandas_object,pandas,util.hash_pandas_object,Hashing,,pandas.util.hash_pandas_object,
pandas.read_pickle,pandas,read_pickle,Input/Output,,pandas.read_pickle,
pandas.read_table,pandas,read_table,Input/Output,,pandas.read_table,
pandas.read_csv,pandas,read_csv,Input/Output,,pandas.read_csv,
pandas.read_fwf,pandas,read_fwf,Input/Output,,pandas.read_fwf,
pandas.read_clipboard,pandas,read_clipboard,Input/Output,,pandas.read_clipboard,
pandas.read_excel,pandas,read_excel,Input/Output,,pandas.read_excel,
pandas.ExcelFile,pandas,ExcelFile,Input/Output,,pandas.ExcelFile,
pandas.ExcelFile.book,pandas,ExcelFile.book,Input/Output,,pandas.ExcelFile.book,
pandas.ExcelFile.sheet_names,pandas,ExcelFile.sheet_names,Input/Output,,pandas.ExcelFile.sheet_names,
pandas.ExcelFile.parse,pandas,ExcelFile.parse,Input/Output,,pandas.ExcelFile.parse,
pandas.ExcelWriter,pandas,ExcelWriter,Input/Output,,pandas.ExcelWriter,
pandas.read_json,pandas,read_json,Input/Output,,pandas.read_json,
pandas.json_normalize,pandas,json_normalize,Input/Output,,pandas.json_normalize,
pandas.io.json.build_table_schema,pandas,io.json.build_table_schema,Input/Output,,pandas.io.json.build_table_schema,
pandas.read_html,pandas,read_html,Input/Output,,pandas.read_html,
pandas.read_xml,pandas,read_xml,Input/Output,,pandas.read_xml,
pandas.read_hdf,pandas,read_hdf,Input/Output,,pandas.read_hdf,
pandas.HDFStore.put,pandas,HDFStore.put,Input/Output,,pandas.HDFStore.put,
pandas.HDFStore.append,pandas,HDFStore.append,Input/Output,,pandas.HDFStore.append,
pandas.HDFStore.get,pandas,HDFStore.get,Input/Output,,pandas.HDFStore.get,
pandas.HDFStore.select,pandas,HDFStore.select,Input/Output,,pandas.HDFStore.select,
pandas.HDFStore.info,pandas,HDFStore.info,Input/Output,,pandas.HDFStore.info,
pandas.HDFStore.keys,pandas,HDFStore.keys,Input/Output,,pandas.HDFStore.keys,
pandas.HDFStore.groups,pandas,HDFStore.groups,Input/Output,,pandas.HDFStore.groups,
pandas.HDFStore.walk,pandas,HDFStore.walk,Input/Output,,pandas.HDFStore.walk,
pandas.read_feather,pandas,read_feather,Input/Output,,pandas.read_feather,
pandas.read_parquet,pandas,read_parquet,Input/Output,,pandas.read_parquet,
pandas.read_orc,pandas,read_orc,Input/Output,,pandas.read_orc,
pandas.read_sas,pandas,read_sas,Input/Output,,pandas.read_sas,
pandas.read_spss,pandas,read_spss,Input/Output,,pandas.read_spss,
pandas.read_sql_table,pandas,read_sql_table,Input/Output,,pandas.read_sql_table,
pandas.read_sql_query,pandas,read_sql_query,Input/Output,,pandas.read_sql_query,
pandas.read_sql,pandas,read_sql,Input/Output,,pandas.read_sql,
pandas.read_gbq,pandas,read_gbq,Input/Output,,pandas.read_gbq,
pandas.read_stata,pandas,read_stata,Input/Output,,pandas.read_stata,
pandas.io.stata.StataReader.data_label,pandas,io.stata.StataReader.data_label,Input/Output,,pandas.io.stata.StataReader.data_label,
pandas.io.stata.StataReader.value_labels,pandas,io.stata.StataReader.value_labels,Input/Output,,pandas.io.stata.StataReader.value_labels,
pandas.io.stata.StataReader.variable_labels,pandas,io.stata.StataReader.variable_labels,Input/Output,,pandas.io.stata.StataReader.variable_labels,
pandas.io.stata.StataWriter.write_file,pandas,io.stata.StataWriter.write_file,Input/Output,,pandas.io.stata.StataWriter.write_file,
DataFrame.plot,DataFrame,plot,Plotting and visualization,,DataFrame.plot,
DataFrame.plot.area,DataFrame,plot.area,Plotting and visualization,,DataFrame.plot.area,
DataFrame.plot.bar,DataFrame,plot.bar,Plotting and visualization,,DataFrame.plot.bar,
DataFrame.plot.barh,DataFrame,plot.barh,Plotting and visualization,,DataFrame.plot.barh,
DataFrame.plot.box,DataFrame,plot.box,Plotting and visualization,,DataFrame.plot.box,
DataFrame.plot.density,DataFrame,plot.density,Plotting and visualization,,DataFrame.plot.density,
DataFrame.plot.hexbin,DataFrame,plot.hexbin,Plotting and visualization,,DataFrame.plot.hexbin,
DataFrame.plot.hist,DataFrame,plot.hist,Plotting and visualization,,DataFrame.plot.hist,
DataFrame.plot.kde,DataFrame,plot.kde,Plotting and visualization,,DataFrame.plot.kde,
DataFrame.plot.line,DataFrame,plot.line,Plotting and visualization,,DataFrame.plot.line,
DataFrame.plot.pie,DataFrame,plot.pie,Plotting and visualization,,DataFrame.plot.pie,
DataFrame.plot.scatter,DataFrame,plot.scatter,Plotting and visualization,,DataFrame.plot.scatter,
DataFrame.boxplot,DataFrame,boxplot,Plotting and visualization,,DataFrame.boxplot,
DataFrame.hist,DataFrame,hist,Plotting and visualization,,DataFrame.hist,
Series.plot,Series,plot,Plotting and visualization,,Series.plot,
Series.plot.area,Series,plot.area,Plotting and visualization,,Series.plot.area,
Series.plot.bar,Series,plot.bar,Plotting and visualization,,Series.plot.bar,
Series.plot.barh,Series,plot.barh,Plotting and visualization,,Series.plot.barh,
Series.plot.box,Series,plot.box,Plotting and visualization,,Series.plot.box,
Series.plot.density,Series,plot.density,Plotting and visualization,,Series.plot.density,
Series.plot.hist,Series,plot.hist,Plotting and visualization,,Series.plot.hist,
Series.plot.kde,Series,plot.kde,Plotting and visualization,,Series.plot.kde,
Series.plot.line,Series,plot.line,Plotting and visualization,,Series.plot.line,
Series.plot.pie,Series,plot.pie,Plotting and visualization,,Series.plot.pie,
Series.hist,Series,hist,Plotting and visualization,,Series.hist,
