Function,Class,Method,Group,Milestone,ClassMethod,
DataFrame.tz_convert,DataFrame,tz_convert,Time Series-related,,DataFrame.tz_convert,
DataFrame.tz_localize,DataFrame,tz_localize,Time Series-related,,DataFrame.tz_localize,
DataFrame.attrs,DataFrame,attrs,Metadata,,DataFrame.attrs,
DataFrame.plot,DataFrame,plot,Plotting,,DataFrame.plot,
DataFrame.plot.area,DataFrame,plot.area,Plotting,,DataFrame.plot.area,
DataFrame.plot.bar,DataFrame,plot.bar,Plotting,,DataFrame.plot.bar,
DataFrame.plot.barh,DataFrame,plot.barh,Plotting,,DataFrame.plot.barh,
DataFrame.plot.box,DataFrame,plot.box,Plotting,,DataFrame.plot.box,
DataFrame.plot.density,DataFrame,plot.density,Plotting,,DataFrame.plot.density,
DataFrame.plot.hexbin,DataFrame,plot.hexbin,Plotting,,DataFrame.plot.hexbin,
DataFrame.plot.hist,DataFrame,plot.hist,Plotting,,DataFrame.plot.hist,
DataFrame.plot.kde,DataFrame,plot.kde,Plotting,,DataFrame.plot.kde,
DataFrame.plot.line,DataFrame,plot.line,Plotting,,DataFrame.plot.line,
DataFrame.plot.pie,DataFrame,plot.pie,Plotting,,DataFrame.plot.pie,
DataFrame.plot.scatter,DataFrame,plot.scatter,Plotting,,DataFrame.plot.scatter,
DataFrame.boxplot,DataFrame,boxplot,Plotting,,DataFrame.boxplot,
DataFrame.hist,DataFrame,hist,Plotting,,DataFrame.hist,
DataFrame.sparse.density,DataFrame,sparse.density,Sparse accessor,,DataFrame.sparse.density,
DataFrame.sparse.from_spmatrix,DataFrame,sparse.from_spmatrix,Sparse accessor,,DataFrame.sparse.from_spmatrix,
DataFrame.sparse.to_coo,DataFrame,sparse.to_coo,Sparse accessor,,DataFrame.sparse.to_coo,
DataFrame.sparse.to_dense,DataFrame,sparse.to_dense,Sparse accessor,,DataFrame.sparse.to_dense,
DataFrame.from_dict,DataFrame,from_dict,Serialization / IO / conversion,,DataFrame.from_dict,
DataFrame.from_records,DataFrame,from_records,Serialization / IO / conversion,,DataFrame.from_records,
DataFrame.to_orc,DataFrame,to_orc,Serialization / IO / conversion,,DataFrame.to_orc,
DataFrame.to_parquet,DataFrame,to_parquet,Serialization / IO / conversion,,DataFrame.to_parquet,
DataFrame.to_pickle,DataFrame,to_pickle,Serialization / IO / conversion,,DataFrame.to_pickle,
DataFrame.to_csv,DataFrame,to_csv,Serialization / IO / conversion,,DataFrame.to_csv,
DataFrame.to_hdf,DataFrame,to_hdf,Serialization / IO / conversion,,DataFrame.to_hdf,
DataFrame.to_sql,DataFrame,to_sql,Serialization / IO / conversion,,DataFrame.to_sql,
DataFrame.to_dict,DataFrame,to_dict,Serialization / IO / conversion,phase 2,DataFrame.to_dict,
DataFrame.to_excel,DataFrame,to_excel,Serialization / IO / conversion,,DataFrame.to_excel,
DataFrame.to_json,DataFrame,to_json,Serialization / IO / conversion,,DataFrame.to_json,
DataFrame.to_html,DataFrame,to_html,Serialization / IO / conversion,,DataFrame.to_html,
DataFrame.to_feather,DataFrame,to_feather,Serialization / IO / conversion,,DataFrame.to_feather,
DataFrame.to_latex,DataFrame,to_latex,Serialization / IO / conversion,,DataFrame.to_latex,
DataFrame.to_stata,DataFrame,to_stata,Serialization / IO / conversion,,DataFrame.to_stata,
DataFrame.to_gbq,DataFrame,to_gbq,Serialization / IO / conversion,,DataFrame.to_gbq,
DataFrame.to_records,DataFrame,to_records,Serialization / IO / conversion,,DataFrame.to_records,
